Naziv predmeta,Mijesto i godina,Materijal i dimenzija,Inventarni broj,Opis predmeta,Naziv fotografije
"Plaketa Kup prvaka, skok s motkom",1935.,"emajl; mramor: kovanje; 9,5 x 9,6 x 2 cm",GMV 1113/2005,"Plaketa koju je osvojio atletičar Dragan Grims kao klupski prvak u skoku s motkom 1935. godine. Na sebi ima pričvršćen grb ŠD Slavija izrađen od emajla, a ispod njega ugravirano KLUB. PRVAKU 1935 / SKOK S MOTKOM.",11.jpg
Značka Varaždinskog športskog društva VŠD,"Teodor Krivak, Varaždin, oko 1940.","emajl: tiještenje; 1 x 1,5 cm",GMV 1016/2005,"Značka Varaždinskog športskog društva, osnovanog 1939. godine, preko kojeg su se odvijali prvenstveno atletika i hokej na ledu, ali i drugi sportovi. Značka na prednjoj strani ima crveno utisnuto VSD, dok na stražnjoj strani, na metalnom krugu, sitno urezan natpis proizviđača T. KRIVAK.",12.jpg
Rudolf Markušić,oko 1940.,"papir: fotografija; 4,7 x 3,7 cm",GMV 106534,"Fotografija prikazuje Rudolfa Markušića (Zagreb, 4. 2. 1911. – Lepoglava, 11. 6. 1946.), atletičar, trgovački pomoćnik. Natjecao se kao član Slavije (Varaždin), HAŠK (Zagreb), i Concordie (Zagreb). Na OI u Berlinu 1936. natjecao se u disciplini bacanje koplja (petoboja), gdje u kvalifikacijskome natjecanju nije uspio prebaciti početnih 60 m, pa je tako ostao izvan finala i prilike da se bori za medalju. Rudolf Markušić u to vrijeme bio je član varaždinskoga Športskog društva Slavija te HŠK Concordia iz Zagreba. U bacanju koplja više je puta osvajao prva mjesta na domaćim natjecanjima te redom rušio rekorde tadašnje države. 1935. oborio je državni rekord u olimpijskom petoboju, a na izbornom natjecanju za odlazak na Olimpijske igre u Berlinu 1936. godine, srušio je rekord Messnera u bacanju koplja i tako osigurao vizu za Berlin. Nastup na Olimpijadi nije mu bio odveć uspješan. Nije prebacio početnih 57 metara i ostao je bez plasmana. Bio je prvak Jugoslavije 1936. i godinu dana kasnije kao član varaždinske Slavije. Sve titule osvojio je u bacanju koplja. Godine 1939. bio je i pobjednik na Balkanskim igrama u Ateni. Kao lepoglavskog zatvorenika ubili su ga zatvorski čuvari nakon završenog posla vađenja šljunka iz Bednje.",13.jpg
Plaketa Varaždinskog sportskog društva VSD,1940.,"emajl; bronca, kovanje; 4,2 x 3,5 cm",GMV 1030/2005,"Plaketa Varaždinskog športskog društva, osnovanog 1939. godine, preko kojeg su se odvijali prvenstveno atletika i hokej na ledu, ali i drugi sportovi. Plaketu je primio pobjednik natjecanja u šestoboju u kategoriji juniori C, održanog 1940. godine.
AV: Otisnut natpis VSD te crvenu i bijelu crtu, a ispod VARAŽDIN
RV: I / 6 - BOJ / JUN-C / 1940.",14.jpg
Značka Varaždinskog športskog društva,"Varaždin, 1940. ","svila, tisak; emajl; tiještenje; 10 x 2,7 cm, pr. 2,5 cm ",GMV 1023/2005,"Značka Varaždinskog športskog društva, osnovanog 1939. godine, preko kojeg su se odvijali prvenstveno atletika i hokej na ledu, ali i drugi sportovi. Metalni lovorov vijenac sa crveno-bijelim trakicama pričvršćen je na svilenu traku krem boje na kojoj je crveno otisnut natpis VSD / OMLADINSKI / ŠPORTSKI / TJEDAN / 1940 / ATLETIKA.",15.jpg
Lovorov vijenac Đurđi Borovec,"Varaždin, 1949. ","metal, tiještenje; pr. 25 cm",GMV 1363/2005,"Lovorov vijenac koji je primila varaždinska atletičarka Đurđa Borovec 1949. godine od AK Sloboda - Za uspjehe u klubu i državnoj reprezentaciji. Đ. Borovec bila je prvakinja države u disciplini bacanja bombe, a u disku naslove prvaka države osvojila je 1950., 1952. i 1958. godine. Metalni vijenac na sebi, na mašni, ima natpise:
ĐURĐI BOROVEC / ZA USPJEHE / U KLUBU I DRŽAVNOJ REPREZENTACIJI / ATLETSKI KLUB ""SLOBODA"" / 1949.",16.jpg
"Đurđa Borovec, bacačica diska",oko 1950.,"papir: fotografija; 18,2 x 11 cm",GMV 106535,"Đurđa Borovec, udata Kožar (Varaždin, 17. 10. 1931. – Varaždin, 3. 1. 2019. ), gimnastičarka, atletičarka i bacačica diska, Četri je puta bila državna prvakinja 1948., 1950., 1952. i 1958. 1956. postavila je rekord u bacaju diska koji nije oboren punih 12 godina. Za reprezentaciju bivše države nastupala je 18 puta, a najveći je rezultat Đurđa Borovec ostvarila na Balkanijadi u Ateni 1957., s daljinom 44,22 metra, gdje je bila brončana, a ostat će upamćen i njen nastup na atletskom Prvenstvu Europe 1950. godine u Bruxellesu. U svibnju 2001. godine u anketi Varaždinskih vijesti, po izboru trenera, kolega sportaša i sportskih entuzijasta, izabrana je za varaždinsku sportašicu stoljeća.",17.jpg
Plaketa Atletskog saveza Jugoslavije 1921 -1951. ,1951.,"bronca: duboki reljef;  9,4 x 8,6 x 0,7 cm",GMV 1003/2005,"Plaketa Atletskog saveza Jugoslavije koju je u povodu 30-godišnjice istog primio Dragan Grims za zasluge u domaćoj atletici. Plaketa ima na prednjoj strani reljefni prikaz ženske glave s maramom koja drži vazu s cvijetom na kojem je natpis 30, iznad i ispod su natpisi ATLETSKI SAVEZ / JUGOSLAVIJE i 1921-1951.",18.jpg
Bosiljka Šeb u utrki s preponama,1951.,"papir: fotografija; 24,2 x 18,1 cm",GMV 106536,"Na fotografiji je Bosiljka Šeb Malošić, atletičarka, članica AK Sloboda, državna reprezentativka i prvakinja Jugoslavije. Za državnu reprezentaciju nastupila 5 puta. Tri puta je postavila državni rekord u disciplini 80 m s preponama (1950. i 1951.). Državna prvakinja 1948. i 1951.",19.jpg
"Iskaznica Atletskog saveza Jugoslavije, Grims Dragan","Varaždin, 1955. ","papir; 9,5 x 6,5 cm",GMV 1290/2005,"Iskaznica Atletskog saveza Jugoslavije koja je pripadala varaždinskom sportskom djelatniku Draganu Grimsu. Izdana je 1955. godine te obnavljana do 1961. godine. Knjižica s prednje strane sadrži natpis ATLETSKI SAVEZ / JUGOSLAVIJE, grb saveza te natpis LEGITIMACIJA. Sadrži fotografiju Dragana Grimsa.",20.jpg
